StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,f1,f2,f3,f4,q1,q2_1,q2_2,q2_3,q2_4,q3,q5,q6,q7,q8,q8s1,q8s2,transaction_id
2025/9/10 20:44,2025/9/10 20:47,0,100,174,1,2025/9/10 20:47,R_6psvUsVe0lKvCzU,,,,,-3.717,-38.5287,anonymous,JA,1,1,34 ,5,7,2,2,2,2,2,2,2,3,2,3,,2,2zOzNNDEIHDcWBT54FGZSj
2025/9/10 20:43,2025/9/10 20:47,0,100,244,1,2025/9/10 20:47,R_3OE5J5A8MO4stha,,,,,-22.9072,-43.1883,anonymous,JA,1,1,59 ,4,4,2,3,3,3,3,4,4,3,3,3,,3,3R6N59ZkBJ4f8w5QCvEGzj
2025/9/10 20:43,2025/9/10 20:47,0,100,256,1,2025/9/10 20:47,R_1o56CXGKA8GHEuR,,,,,-20.6103,-40.5274,anonymous,JA,1,1,47 ,3,2,3,2,3,3,4,3,1,2,2,2,2,,4bfhCo92eo5NgdadUrWKMV
2025/9/10 20:45,2025/9/10 20:47,0,100,134,1,2025/9/10 20:47,R_7KS9ykGjsAN4SQN,,,,,-14.4666,-42.8715,anonymous,JA,1,1,25 ,4,2,1,1,2,4,3,1,1,1,1,1,1,,3OtVPEjXU7J4RX5c1vavoe
2025/9/10 20:44,2025/9/10 20:47,0,100,184,1,2025/9/10 20:47,R_329Hq3jKhuGk1qB,,,,,-23.6293,-46.6351,anonymous,JA,1,2,35 ,4,3,3,2,2,2,3,4,2,4,2,3,,2,0Lm0ZVcWcMQUJKUnE30CWh
2025/9/10 20:44,2025/9/10 20:47,0,100,199,1,2025/9/10 20:47,R_6n2XCMeJdfmOTVw,,,,,-22.8951,-47.0439,anonymous,JA,1,1,46 ,4,5,1,2,2,1,2,1,1,2,1,1,2,,4tL3fOO8bHUvQ9jEtOoq0u
2025/9/10 20:46,2025/9/10 20:47,0,100,105,1,2025/9/10 20:47,R_6dEQ1kctMxJ71L3,,,,,-22.9201,-43.0811,anonymous,JA,1,2,22 ,4,2,3,2,2,2,4,3,2,3,2,1,2,,0BhfjM1BhzC5l5TinUgjJV
2025/9/10 20:44,2025/9/10 20:47,0,100,231,1,2025/9/10 20:47,R_7ymiGhTvWD1EFyB,,,,,-16.6802,-49.2564,anonymous,JA,1,1,29 ,4,4,2,4,2,1,3,2,1,2,1,1,3,,3l6hObgrXe0eioTwrL586x
2025/9/10 20:43,2025/9/10 20:47,0,100,234,1,2025/9/10 20:47,R_6VvDvGBIqksBhJa,,,,,-23.5475,-46.6361,anonymous,JA,1,2,22 ,3,2,3,2,2,1,4,4,2,2,2,1,2,,1YXDEjLvFXhgWYbkfie63r
2025/9/10 20:44,2025/9/10 20:47,0,100,193,1,2025/9/10 20:47,R_73g3biorD7LrEGc,,,,,-7.8696,-35.7517,anonymous,JA,1,2,29 ,4,8,5,1,1,2,3,4,2,1,2,2,2,,5k5hG5pZqOQYLFWZKjcI46
2025/9/10 20:45,2025/9/10 20:47,0,100,146,1,2025/9/10 20:47,R_7P5gOFVHXQpc9Ts,,,,,-23.4118,-46.4392,anonymous,JA,1,1,41 ,4,4,2,2,2,1,2,1,1,4,1,1,2,,68lBgi2amHVtMlUA2dAupr
2025/9/10 20:44,2025/9/10 20:48,0,100,210,1,2025/9/10 20:48,R_5FxsW4qFXvUwPRf,,,,,-7.8696,-35.7517,anonymous,JA,1,1,20 ,2,4,1,1,2,2,2,1,1,1,2,2,2,,2AUZBKURv7wcFkEOWDaE15
2025/9/10 20:45,2025/9/10 20:48,0,100,139,1,2025/9/10 20:48,R_7dt5uDcdmqblM2Q,,,,,-23.6293,-46.6351,anonymous,JA,1,1,36 ,4,3,3,2,2,2,3,3,1,4,2,2,2,,6MDZLjQXhSBdF7IAFbPUqU
2025/9/10 20:44,2025/9/10 20:48,0,100,233,1,2025/9/10 20:48,R_7HIlIWXBtzUDRcd,,,,,-25.5283,-49.2161,anonymous,JA,1,2,46 ,2,4,4,1,2,3,2,2,4,1,3,2,1,,1z3GJgfUJ1FmfQDIEoCFNN
